Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
12 de set. de 2020,23,31,85,0,278,41,12,0.62,27.428571428571427,34.57142857142857,14.857142857142858,4
11 de set. de 2020,19,32,86,0,286,30,11,0.59,28,32.57142857142857,16.285714285714285,5
10 de set. de 2020,32,35,105,1,299,38,12,0.6,29.571428571428573,31.571428571428573,17.714285714285715,6
9 de set. de 2020,50,58,125,2,303,39,12,0.65,33.42857142857143,31.285714285714285,19.142857142857142,5
8 de set. de 2020,51,43,168,0,313,29,12,0.58,30.571428571428573,30.428571428571427,20.428571428571427,4
7 de set. de 2020,4,52,5,1,305,32,22,0.51,26.714285714285715,31.857142857142858,21.142857142857142,6
6 de set. de 2020,13,43,58,0,354,33,23,0.7,35.285714285714285,32.857142857142854,20.428571428571427,7
5 de set. de 2020,27,58,63,1,384,27,22,0.83,39.57142857142857,34.42857142857143,19.571428571428573,7
4 de set. de 2020,30,62,168,1,416,23,21,1.07,46.857142857142854,36.714285714285715,18.857142857142858,6
3 de set. de 2020,59,56,192,0,449,36,22,1.34,53.714285714285715,40,18.857142857142858,6
2 de set. de 2020,30,47,109,1,446,33,21,1.68,61,41.857142857142854,18.571428571428573,6
1 de set. de 2020,24,56,119,2,464,39,17,2.01,67.42857142857143,44.285714285714285,18.428571428571427,5
31 de ago. de 2020,64,89,272,2,498,39,17,2.14,67.42857142857143,46.142857142857146,18.857142857142858,5
30 de ago. de 2020,43,24,123,0,525,44,17,1.96,59.42857142857143,49.142857142857146,19.285714285714285,4
29 de ago. de 2020,78,73,1270,0,506,43,17,1.79,54,49.57142857142857,19.285714285714285,5
28 de ago. de 2020,78,34,293,1,501,46,21,1.63,50.285714285714285,50.142857142857146,19.142857142857142,8
27 de ago. de 2020,110,27,309,0,458,49,20,1.34,42.285714285714285,50.857142857142854,18.714285714285715,9
26 de ago. de 2020,75,33,290,0,375,50,20,0.99,32,51.57142857142857,19.142857142857142,9
25 de ago. de 2020,24,28,69,2,333,52,20,0.74,24.571428571428573,51.714285714285715,19.857142857142858,9
24 de ago. de 2020,8,21,69,1,339,60,20,0.83,28.285714285714285,52.857142857142854,21,8
23 de ago. de 2020,5,32,9,1,353,47,17,0.81,28.142857142857142,53.285714285714285,22.142857142857142,9
22 de ago. de 2020,52,53,140,3,381,47,16,0.94,33.714285714285715,58,24,8
21 de ago. de 2020,22,36,89,2,385,51,18,0.77,27.857142857142858,61.57142857142857,25.857142857142858,6
20 de ago. de 2020,38,22,227,0,401,54,23,0.75,28,64.85714285714286,27.428571428571427,4
19 de ago. de 2020,23,49,69,0,385,51,25,0.79,30.428571428571427,69.71428571428571,28.428571428571427,4
18 de ago. de 2020,50,62,175,1,411,60,28,0.8,31.714285714285715,72.14285714285714,29.142857142857142,5
17 de ago. de 2020,7,43,11,2,424,63,28,0.81,33.285714285714285,74.57142857142857,29.142857142857142,6
16 de ago. de 2020,44,67,89,0,462,80,30,0.8,34.42857142857143,76.28571428571429,29,4
15 de ago. de 2020,11,58,43,1,485,72,29,0.67,30,74.57142857142857,28,5
14 de ago. de 2020,23,61,109,0,533,74,29,0.67,31.142857142857142,73.57142857142857,27.285714285714285,7
13 de ago. de 2020,55,54,93,0,571,88,30,0.82,39.857142857142854,73.28571428571429,26.857142857142858,9
