Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
15 de out. de 2020,10,7,57,1,45,18,9,0.81,8.571428571428571,13.714285714285714,12.285714285714286,4
14 de out. de 2020,3,5,23,2,43,13,10,0.8,8.857142857142858,13.857142857142858,13,3
13 de out. de 2020,15,10,49,0,47,11,14,0.79,9.285714285714286,14.857142857142858,13.571428571428571,1
12 de out. de 2020,8,4,11,0,42,13,10,0.72,8.857142857142858,16,13.714285714285714,1
11 de out. de 2020,0,4,3,0,38,13,15,0.59,7.714285714285714,16.857142857142858,14.428571428571429,1
10 de out. de 2020,12,5,61,0,42,14,15,0.71,9.714285714285714,18.142857142857142,13.857142857142858,1
9 de out. de 2020,12,5,54,1,35,14,13,0.62,8.857142857142858,18.857142857142858,13.428571428571429,2
8 de out. de 2020,12,5,13,0,29,19,14,0.59,8.857142857142858,20,13.571428571428571,1
7 de out. de 2020,6,15,88,0,22,20,14,0.59,9,20.571428571428573,13.428571428571429,1
6 de out. de 2020,12,16,69,0,31,19,15,0.7,11.571428571428571,20.142857142857142,13.428571428571429,2
5 de out. de 2020,0,5,33,0,35,19,15,0.72,12.142857142857142,19.142857142857142,13,3
4 de out. de 2020,14,9,78,0,40,22,11,0.83,14.142857142857142,18.142857142857142,12.857142857142858,3
3 de out. de 2020,6,8,15,1,35,19,12,0.72,12.428571428571429,17,12.428571428571429,3
2 de out. de 2020,12,16,55,0,38,22,14,0.88,15.285714285714286,16.571428571428573,12,2
1 de out. de 2020,13,10,24,0,42,23,13,0.96,16.428571428571427,15.285714285714286,11.428571428571429,2
30 de set. de 2020,24,18,118,1,39,17,14,0.88,15.857142857142858,14,11.571428571428571,3
29 de set. de 2020,16,0,47,1,34,12,12,0.87,15.571428571428571,13.857142857142858,11.428571428571429,2
28 de set. de 2020,14,14,46,0,19,12,14,0.89,16.571428571428573,14.285714285714286,11,1
27 de set. de 2020,2,2,3,0,19,14,8,0.83,16.142857142857142,14.571428571428571,10.428571428571429,3
26 de set. de 2020,26,24,66,0,19,16,9,0.83,17.142857142857142,14.285714285714286,10.857142857142858,4
